"course","instructor","quarter","year","A","B","C","D","F","Ap","Bp","Cp","Dp","Am","Cm","Bm","Dm","nLetterStudents","nPNPStudents","avgGPA","P","dept"
"ECON 1","OPREA R D","Fall",2015,41,61,297,6,2,0,61,72,3,39,17,58,3,660,0,2.49954545454545,0,"ECON"
"EEMB 3","EVEN T J","Fall",2015,18,38,41,9,11,3,1,11,1,2,6,5,1,147,0,2.38571428571429,0,"EEMB"
"EEMB 3","MAZER S J","Fall",2015,18,38,41,9,11,3,1,11,1,2,6,5,1,147,0,2.38571428571429,0,"EEMB"
"PHYS 2","GURUSWAMY S","Fall",2015,12,6,4,3,6,3,9,9,3,1,4,9,0,69,0,2.58115942028986,0,"PHYS"
"ECON 1","BEDARD K L","Winter",2016,46,62,316,2,5,0,67,82,9,46,17,65,0,717,0,2.51046025104603,0,"ECON"
"ECON 2","RUPERT P","Winter",2016,26,40,133,10,0,0,42,46,0,27,74,45,0,443,0,2.46410835214447,0,"ECON"
"EEMB 2","EVEN T J","Winter",2016,56,133,226,103,42,17,47,55,0,49,99,100,0,927,0,2.31628910463862,0,"EEMB"
"EEMB 2","NGUYEN A T","Winter",2016,56,133,226,103,42,17,47,55,0,49,99,100,0,927,0,2.31628910463862,0,"EEMB"
"EEMB 2","RICE W R","Winter",2016,56,133,226,103,42,17,47,55,0,49,99,100,0,927,0,2.31628910463862,0,"EEMB"
"PHYS 1","GELLER R M","Winter",2016,55,26,14,3,6,49,23,15,10,40,7,23,0,271,0,3.21180811808118,0,"PHYS"
"PHYS 1","VAN DER VEEN","Winter",2016,43,33,18,17,8,27,32,22,1,32,10,31,0,274,0,2.95109489051095,0,"PHYS"
"PHYS 1","WIENER J L","Winter",2016,18,4,10,3,2,9,8,7,2,9,5,11,0,88,0,2.95,0,"PHYS"
"ECON 2","BIRCHENALL J","Spring",2016,38,58,181,23,0,0,58,60,0,38,95,65,0,616,0,2.46428571428571,0,"ECON"
"EEMB 3","CARLSON C A","Spring",2016,68,174,75,39,22,14,54,49,0,86,36,81,0,698,0,2.7621776504298,0,"EEMB"
"EEMB 3","HODGES S A","Spring",2016,68,174,75,39,22,14,54,49,0,86,36,81,0,698,0,2.7621776504298,0,"EEMB"
"EEMB 3","HOFMANN G E","Spring",2016,68,174,75,39,22,14,54,49,0,86,36,81,0,698,0,2.7621776504298,0,"EEMB"
"EEMB 3","NGUYEN A T","Spring",2016,68,174,75,39,22,14,54,49,0,86,36,81,0,698,0,2.7621776504298,0,"EEMB"
"PHYS 1","XU C","Spring",2016,5,6,9,3,6,3,13,11,0,10,8,14,0,88,0,2.58636363636364,0,"PHYS"
"PHYS 2","SANTOCCHIA A","Spring",2016,12,55,35,6,13,11,35,28,10,32,15,35,0,287,0,2.66306620209059,0,"PHYS"
"PHYS 2","WIENER J L","Spring",2016,11,21,17,8,7,6,16,28,9,18,16,25,0,182,0,2.54505494505494,0,"PHYS"
"ECON 1","GARRATT R J","Summer",2016,5,6,15,0,5,2,9,8,0,11,1,6,1,69,0,2.65797101449275,0,"ECON"
"ECON 2","RUPERT P","Summer",2016,6,20,12,0,0,1,3,4,0,4,5,2,0,57,0,2.80350877192982,0,"ECON"
"EEMB 2","EVEN T J","Summer",2016,40,83,56,21,8,1,7,5,0,0,1,6,2,230,0,2.60826086956522,0,"EEMB"
"PHYS 2","FREUND E G","Summer",2016,6,10,6,1,2,2,4,7,0,9,5,8,1,61,0,2.76065573770492,0,"PHYS"
"ECON 1","OPREA R D","Fall",2016,46,69,319,8,7,0,75,77,10,43,18,68,5,745,0,2.48510067114094,0,"ECON"
"EEMB 3","CORNEJO DONOS","Fall",2016,16,26,39,10,11,3,3,7,4,1,4,11,0,135,0,2.32148148148148,0,"EEMB"
"EEMB 3","LATTO J G","Fall",2016,16,26,39,10,11,3,3,7,4,1,4,11,0,135,0,2.32148148148148,0,"EEMB"
"EEMB 3","MAZER S J","Fall",2016,16,26,39,10,11,3,3,7,4,1,4,11,0,135,0,2.32148148148148,0,"EEMB"
"PHYS 2","CRAIG N J","Fall",2016,7,9,10,7,6,1,4,4,0,1,3,3,0,55,0,2.27818181818182,0,"PHYS"
"ECON 1","GARRATT R J","Winter",2017,55,82,331,1,5,3,75,97,3,51,12,90,1,806,0,2.56612903225806,0,"ECON"
"ECON 2","RUPERT P","Winter",2017,29,35,127,12,0,0,37,43,0,39,75,48,0,445,0,2.49303370786517,0,"ECON"
"EEMB 2","EVEN T J","Winter",2017,96,209,207,12,87,4,21,29,149,23,28,31,0,896,0,2.23113839285714,0,"EEMB"
"EEMB 2","NGUYEN A T","Winter",2017,96,209,207,12,87,4,21,29,149,23,28,31,0,896,0,2.23113839285714,0,"EEMB"
"EEMB 2","RICE W R","Winter",2017,96,209,207,12,87,4,21,29,149,23,28,31,0,896,0,2.23113839285714,0,"EEMB"
"PHYS 1","FREUND E G","Winter",2017,32,40,21,6,16,11,41,19,10,35,11,36,3,281,0,2.77402135231317,0,"PHYS"
"PHYS 1","GIDDINGS S B","Winter",2017,12,5,7,1,6,7,7,10,3,10,2,7,0,77,0,2.7961038961039,0,"PHYS"
"PHYS 1","VAN DER VEEN","Winter",2017,22,11,12,3,9,33,48,9,2,45,6,18,0,218,0,3.15137614678899,0,"PHYS"
"ECON 2","BIRCHENALL J","Spring",2017,37,61,197,6,0,10,61,67,0,41,101,66,0,647,0,2.51622874806801,0,"ECON"
"EEMB 3","CARLSON C A","Spring",2017,59,179,106,44,14,8,30,26,0,86,30,81,0,663,0,2.72654600301659,0,"EEMB"
"EEMB 3","HODGES S A","Spring",2017,59,179,106,44,14,8,30,26,0,86,30,81,0,663,0,2.72654600301659,0,"EEMB"
"EEMB 3","HOFMANN G E","Spring",2017,59,179,106,44,14,8,30,26,0,86,30,81,0,663,0,2.72654600301659,0,"EEMB"
